id,start_date,name,distance,moving_time,type,average_heartrate,max_heartrate,average_speed,max_speed,total_elevation_gain,start_latlng,end_latlng,weather_icon,weather_summary,weather_temperature
697246257,2016-09-01T20:10:00Z,"Creature Loop #2 fuck stravas interface",15.8,5400,Ride,,,10.5,0,0,,,13,14,15
698065186,2016-09-02T16:05:47Z,"Lunch Vacation Chestnut Loop",9.9,4678,Ride,,,7.7,27.1,109.1,"[37.25,-79.95]","[37.25,-79.95]",13,14,15
700636526,2016-09-03T21:56:35Z,"Late night ride to Kens ",3.5,1241,Ride,,,10,19.2,0,"[36.09,-75.7]","[36.05,-75.69]",13,14,15
700748978,2016-09-04T18:22:57Z,"Cheerwine Quest 2016",14.1,4335,Ride,,,11.7,21,0,"[36.09,-75.7]","[36.09,-75.7]",13,14,15
701756118,2016-09-05T18:22:00Z,"There's always a way to engineer something",7.3,2483,Ride,,,10.6,21.5,0,"[36.09,-75.7]","[36.09,-75.7]",13,14,15
701922255,2016-09-05T20:42:16Z,"Interview prep on Labor Day lol",3.8,1323,Ride,,,10.3,24.2,0,"[36.09,-75.7]","[36.09,-75.7]",13,14,15
702978764,2016-09-06T18:46:20Z,"Took greenways all the way to Duck",18,5325,Ride,,,12.2,23.5,5.7,"[36.09,-75.7]","[36.1,-75.71]",13,14,15
704282952,2016-09-07T21:21:43Z,"Recorded on a device with a headphone jack",11.1,3067,Ride,,,13,17.9,0,"[36.09,-75.7]","[36.09,-75.7]",13,14,15
705400724,2016-09-08T21:15:29Z,"Highway 12 neighborhood loop",9.2,2468,Ride,,,13.5,17.9,0,"[36.09,-75.7]","[36.09,-75.7]",13,14,15
709077072,2016-09-11T17:19:03Z,"Blue Ridge Bike Club party ",9.9,6327,Ride,,,5.7,20.1,110.5,"[37.24,-79.85]","[37.24,-79.85]",13,14,15
710219144,2016-09-12T21:14:48Z,"Monday night ride ",9.9,5282,Ride,,,6.8,30,110.8,"[37.26,-79.95]","[37.25,-79.95]",13,14,15
712502756,2016-09-14T19:29:43Z,"Creature Loop #3",15.6,6042,Ride,,,9.3,26.8,110.8,"[37.38,-79.95]","[37.38,-79.95]",13,14,15
713726976,2016-09-15T21:46:51Z,"Go Cross and mini ride until dad flatted ",12.8,4703,Ride,,,9.8,30.6,63.4,"[37.28,-79.91]","[37.28,-79.91]",13,14,15
714652670,2016-09-16T21:02:06Z,fRIDEday,9.7,4572,Ride,,,7.6,23.9,97.8,"[37.26,-79.94]","[37.25,-79.95]",13,14,15
717027492,2016-09-18T14:58:26Z,"Steve Johnson loop ",15.3,7741,Ride,,,7.1,23.3,136.3,"[37.66,-79.86]","[37.66,-79.86]",13,14,15
718239165,2016-09-19T21:32:40Z,"Chestnut Loop",7.3,3764,Ride,,,7,26.2,86.7,"[37.26,-79.94]","[37.25,-79.95]",13,14,15
720453527,2016-09-21T19:52:04Z,"Creature Loop abridged (flat tire)",15.4,5575,Ride,,,9.9,29.1,98,"[37.38,-79.95]","[37.38,-79.95]",13,14,15
722553896,2016-09-23T21:26:22Z,"Testing out the FoePro footage coming soon! ",6.3,3461,Ride,,,6.6,27.3,80.4,"[37.26,-79.94]","[37.25,-79.95]",13,14,15
723816560,2016-09-24T18:10:24Z,"Creature Loop and yet another flat",18.2,7249,Ride,,,9,29.5,131,"[37.38,-79.95]","[37.38,-79.95]",13,14,15
726118767,2016-09-26T21:36:23Z,"Chestnut Loop",7.9,3638,Ride,,,7.8,25.9,89.1,"[37.26,-79.95]","[37.25,-79.95]",13,14,15
